feature,mi_score
time_idx,3.624928168029448
usdngn_ma20,3.5708560480348934
usdngn_ma5,3.555957250851371
usdngn_lag1,3.3673574487679026
usdngn_lag5,3.35854464116254
usdngn_lag10,3.349332268366956
mpr,2.156653875674003
cpi,2.024449444123496
brent_oil,1.9986342639886185
rate_oil_ratio,1.8784650218195074
usdngn_volatility,0.8046047111100041
usdngn_trend,0.5958418535452985
usdngn_roc5,0.44859534609882923
usdngn_return,0.4165093028053457
sin_doy,0.16498079919858633
cos_doy,0.16056581869482578
mpr_change,0.055505296247374325
oil_return,0.0
