Model,Regime,RMSE,MAE,MAPE,DA,N,Regime
Random Walk,COVID-19,6.703024063486964,3.886990766506078,1.0072940980894893,33.455882352941174,545,COVID-19
Random Walk,Post-COVID,11.436198129565664,5.078070040315881,1.0279678705725448,34.1747572815534,516,Post-COVID
Random Walk,Depegging,37.97670024892046,12.808322882796766,1.0515634337507822,32.29706390328152,580,Depegging
Moving Average,COVID-19,17.03240380303908,5.816633302901556,1.5503796481094467,36.213235294117645,545,COVID-19
Moving Average,Post-COVID,26.41108510187754,7.890046193479136,1.4156488720259361,34.56310679611651,516,Post-COVID
Moving Average,Depegging,93.67899619534877,23.008095758514735,1.685652722252098,34.369602763385146,580,Depegging
ARIMA,COVID-19,6.566165500648231,3.610421823781327,0.9365127991385302,33.27205882352941,545,COVID-19
ARIMA,Post-COVID,11.616188753882247,4.7131659180026855,0.9400040651843005,32.038834951456316,516,Post-COVID
ARIMA,Depegging,38.53907535443129,12.601849127302678,1.0210826863112377,32.12435233160622,580,Depegging
ARIMAX,COVID-19,6.742249026752774,3.502620403848439,0.9098011955848733,31.25,545,COVID-19
ARIMAX,Post-COVID,12.431966026532645,5.139415899766086,0.99811252218187,35.33980582524272,516,Post-COVID
ARIMAX,Depegging,38.97128224529365,12.970323338564802,1.0435006394902795,30.7426597582038,580,Depegging
LSTM,COVID-19,148.10497574608112,146.92039338401128,37.78225005036239,52.75735294117647,545,COVID-19
LSTM,Post-COVID,259.4782849428849,241.90580231889987,47.72456530641189,52.62135922330097,516,Post-COVID
LSTM,Depegging,982.7698412887158,900.5981935449136,73.37750837694263,51.98618307426598,580,Depegging
GRU,COVID-19,49.23392489077625,48.41862591227786,12.42249011916581,55.33088235294118,545,COVID-19
GRU,Post-COVID,130.0078754947082,108.8772216607043,20.452762595877907,51.6504854368932,516,Post-COVID
GRU,Depegging,781.5579295889206,690.6908443333193,53.58129867413268,50.086355785837654,580,Depegging
Hybrid ARIMA-LSTM,COVID-19,6.42638085373552,3.553685233100774,0.921196875481344,32.904411764705884,545,COVID-19
Hybrid ARIMA-LSTM,Post-COVID,11.153578685593581,4.6384339753648485,0.9321507527600947,33.00970873786408,516,Post-COVID
Hybrid ARIMA-LSTM,Depegging,39.53911555542901,12.81293585286866,1.0362499499709348,32.98791018998273,580,Depegging
Mean Reversion,COVID-19,6.535305259642623,3.6146179556797793,0.9374258423555397,31.25,545,COVID-19
Mean Reversion,Post-COVID,11.25079307210851,4.797880887214383,0.9656015517245351,31.650485436893206,516,Post-COVID
Mean Reversion,Depegging,37.906546653609475,12.562063031737328,1.0212428713291004,33.85146804835924,580,Depegging
Mean Reversion + Streak,COVID-19,6.527017332707418,3.5840254503647744,0.9294436114659234,31.801470588235293,545,COVID-19
Mean Reversion + Streak,Post-COVID,11.232589539680998,4.752692046250211,0.9561435195056869,32.23300970873787,516,Post-COVID
Mean Reversion + Streak,Depegging,37.89186332986667,12.535664985139912,1.0184180382779024,34.369602763385146,580,Depegging
Ensemble (Simple Avg),COVID-19,28.879069170790242,28.189995394919496,7.244448964238874,32.169117647058826,545,COVID-19
Ensemble (Simple Avg),Post-COVID,56.63710128785153,50.48278970284719,9.793449334356328,32.42718446601941,516,Post-COVID
Ensemble (Simple Avg),Depegging,254.79623098911188,228.4140485036795,18.20458426749109,33.506044905008636,580,Depegging
Ensemble (Val-Weighted),COVID-19,7.03137902248013,4.323959976225952,1.1155438797835062,31.985294117647058,545,COVID-19
Ensemble (Val-Weighted),Post-COVID,13.006683311036864,6.856884797783942,1.323214478874563,32.23300970873787,516,Post-COVID
Ensemble (Val-Weighted),Depegging,50.1880115877848,31.079238162571446,2.428924009631462,33.33333333333333,580,Depegging
Ensemble (Optimized),COVID-19,6.629048833049897,3.8459173446369537,0.9944041303332389,31.61764705882353,545,COVID-19
Ensemble (Optimized),Post-COVID,12.101678306314277,5.785150207322459,1.1258645657911293,32.23300970873787,516,Post-COVID
Ensemble (Optimized),Depegging,45.55257163475418,24.63451336777334,1.9128526158220112,33.506044905008636,580,Depegging
