feature,te_score,mi_score,p_value
cpi,0.06356002539659338,2.0357964146008163,0.0
usdngn_ma20,0.06194047375089293,3.577569073051559,0.0
usdngn_ma5,0.06166047574483464,3.5689725809170314,0.0
usdngn_lag10,0.055980777783202214,3.333103306616098,0.0
usdngn_lag5,0.05444541589828884,3.3596020846348154,0.0
usdngn_lag1,0.05412546466450119,3.386348155778194,0.0
time_idx,0.04736732128377471,3.6380725776410996,0.0
mpr,0.04544330468051369,2.1597469491021295,0.0
brent_oil,0.0397378703967593,2.003386803712874,0.0
rate_oil_ratio,0.03794797243554732,1.895550670520552,0.0
cos_doy,0.021308463427164526,0.15895118334896097,0.0
sin_doy,0.01624961099591917,0.1680599769962905,0.0
usdngn_trend,0.00767887888320513,0.6076345177019915,0.0
usdngn_volatility,0.007647742249093633,0.833456627590309,0.0
usdngn_roc5,0.007527119625060826,0.43854938379975783,0.0
usdngn_return,0.005620430944815935,0.4173382577321343,0.025
mpr_change,0.004270164611794439,0.043792806849415555,0.375
oil_return,0.0029418450599695907,0.003155037682938122,0.825
